"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Rede geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1300904";"Canutama (AM)";"Total";"Total";"47,38"
"1301001";"Carauari (AM)";"Total";"Total";"63,61"
"1301100";"Careiro (AM)";"Total";"Total";"36,42"
"1301159";"Careiro da Várzea (AM)";"Total";"Total";"11,25"
"1301209";"Coari (AM)";"Total";"Total";"26,76"
"1301308";"Codajás (AM)";"Total";"Total";"59,47"
"1301407";"Eirunepé (AM)";"Total";"Total";"44,80"
"1301506";"Envira (AM)";"Total";"Total";"23,85"
"1301605";"Fonte Boa (AM)";"Total";"Total";"67,21"
"1301654";"Guajará (AM)";"Total";"Total";"33,88"
"1301704";"Humaitá (AM)";"Total";"Total";"71,03"
"1301803";"Ipixuna (AM)";"Total";"Total";"39,18"
"1301852";"Iranduba (AM)";"Total";"Total";"61,75"
"1301902";"Itacoatiara (AM)";"Total";"Total";"73,35"
"1301951";"Itamarati (AM)";"Total";"Total";"36,56"
"1302009";"Itapiranga (AM)";"Total";"Total";"76,54"
"1302108";"Japurá (AM)";"Total";"Total";"47,04"
"1302207";"Juruá (AM)";"Total";"Total";"45,62"
"1302306";"Jutaí (AM)";"Total";"Total";"62,91"
"1302405";"Lábrea (AM)";"Total";"Total";"23,99"
"1302504";"Manacapuru (AM)";"Total";"Total";"55,57"
"1302553";"Manaquiri (AM)";"Total";"Total";"35,15"
"1302603";"Manaus (AM)";"Total";"Total";"75,49"
"1302702";"Manicoré (AM)";"Total";"Total";"35,60"
"1302801";"Maraã (AM)";"Total";"Total";"48,80"
"1302900";"Maués (AM)";"Total";"Total";"51,96"
"1303007";"Nhamundá (AM)";"Total";"Total";"45,75"
"1303106";"Nova Olinda do Norte (AM)";"Total";"Total";"46,50"
"1303205";"Novo Airão (AM)";"Total";"Total";"54,54"
"1303304";"Novo Aripuanã (AM)";"Total";"Total";"24,79"
"1303403";"Parintins (AM)";"Total";"Total";"72,14"
"1303502";"Pauini (AM)";"Total";"Total";"44,18"
"1303536";"Presidente Figueiredo (AM)";"Total";"Total";"57,89"
"1303569";"Rio Preto da Eva (AM)";"Total";"Total";"46,70"
"1303601";"Santa Isabel do Rio Negro (AM)";"Total";"Total";"44,24"
"1303700";"Santo Antônio do Içá (AM)";"Total";"Total";"44,09"
"1303809";"São Gabriel da Cachoeira (AM)";"Total";"Total";"31,19"
"1303908";"São Paulo de Olivença (AM)";"Total";"Total";"37,52"
"1303957";"São Sebastião do Uatumã (AM)";"Total";"Total";"67,20"
"1304005";"Silves (AM)";"Total";"Total";"48,85"
"1304062";"Tabatinga (AM)";"Total";"Total";"40,78"
"1304104";"Tapauá (AM)";"Total";"Total";"45,22"
"1304203";"Tefé (AM)";"Total";"Total";"74,27"
"1304237";"Tonantins (AM)";"Total";"Total";"13,02"
"1304260";"Uarini (AM)";"Total";"Total";"60,08"
"1304302";"Urucará (AM)";"Total";"Total";"77,57"
"1304401";"Urucurituba (AM)";"Total";"Total";"63,49"
"1400027";"Amajari (RR)";"Total";"Total";"36,72"
"1400050";"Alto Alegre (RR)";"Total";"Total";"45,11"
"1400100";"Boa Vista (RR)";"Total";"Total";"96,03"
"1400159";"Bonfim (RR)";"Total";"Total";"49,58"
"1400175";"Cantá (RR)";"Total";"Total";"47,11"
"1400209";"Caracaraí (RR)";"Total";"Total";"65,87"
"1400233";"Caroebe (RR)";"Total";"Total";"52,58"
"1400282";"Iracema (RR)";"Total";"Total";"55,50"
"1400308";"Mucajaí (RR)";"Total";"Total";"66,90"
"1400407";"Normandia (RR)";"Total";"Total";"46,12"
"1400456";"Pacaraima (RR)";"Total";"Total";"75,22"
"1400472";"Rorainópolis (RR)";"Total";"Total";"34,29"
"1400506";"São João da Baliza (RR)";"Total";"Total";"67,13"
"1400605";"São Luiz (RR)";"Total";"Total";"67,76"
"1400704";"Uiramutã (RR)";"Total";"Total";"43,98"
