"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Tinham banheiro - de uso exclusivo do domicílio - rede geral de esgoto ou pluvial ou fossa séptica"
"1300839";"Caapiranga (AM)";"Total";"Total";"27,04"
"1300904";"Canutama (AM)";"Total";"Total";"10,08"
"1301001";"Carauari (AM)";"Total";"Total";"20,29"
"1301100";"Careiro (AM)";"Total";"Total";"13,41"
"1301159";"Careiro da Várzea (AM)";"Total";"Total";"4,69"
"1301209";"Coari (AM)";"Total";"Total";"37,01"
"1301308";"Codajás (AM)";"Total";"Total";"25,35"
"1301407";"Eirunepé (AM)";"Total";"Total";"10,98"
"1301506";"Envira (AM)";"Total";"Total";"7,33"
"1301605";"Fonte Boa (AM)";"Total";"Total";"1,69"
"1301654";"Guajará (AM)";"Total";"Total";"7,77"
"1301704";"Humaitá (AM)";"Total";"Total";"15,79"
"1301803";"Ipixuna (AM)";"Total";"Total";"1,05"
"1301852";"Iranduba (AM)";"Total";"Total";"13,75"
"1301902";"Itacoatiara (AM)";"Total";"Total";"20,03"
"1301951";"Itamarati (AM)";"Total";"Total";"3,95"
"1302009";"Itapiranga (AM)";"Total";"Total";"6,52"
"1302108";"Japurá (AM)";"Total";"Total";"11,62"
"1302207";"Juruá (AM)";"Total";"Total";"12,19"
"1302306";"Jutaí (AM)";"Total";"Total";"0,63"
"1302405";"Lábrea (AM)";"Total";"Total";"18,69"
"1302504";"Manacapuru (AM)";"Total";"Total";"22,01"
"1302553";"Manaquiri (AM)";"Total";"Total";"7,33"
"1302603";"Manaus (AM)";"Total";"Total";"61,36"
"1302702";"Manicoré (AM)";"Total";"Total";"6,99"
"1302801";"Maraã (AM)";"Total";"Total";"20,19"
"1302900";"Maués (AM)";"Total";"Total";"28,43"
