"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Tinham banheiro - de uso exclusivo do domicílio - rede geral de esgoto ou pluvial ou fossa séptica"
"2404606";"Ielmo Marinho (RN)";"Total";"Total";"8,93"
"2404705";"Ipanguaçu (RN)";"Total";"Total";"18,35"
"2404804";"Ipueira (RN)";"Total";"Total";"1,88"
"2404853";"Itajá (RN)";"Total";"Total";"14,78"
"2404903";"Itaú (RN)";"Total";"Total";"3,11"
"2405009";"Jaçanã (RN)";"Total";"Total";"0,73"
"2405108";"Jandaíra (RN)";"Total";"Total";"9,59"
"2405207";"Janduís (RN)";"Total";"Total";"36,92"
"2405306";"Januário Cicco (RN)";"Total";"Total";"11,61"
"2405405";"Japi (RN)";"Total";"Total";"37,37"
"2405504";"Jardim de Angicos (RN)";"Total";"Total";"9,04"
"2405603";"Jardim de Piranhas (RN)";"Total";"Total";"20,07"
"2405702";"Jardim do Seridó (RN)";"Total";"Total";"73,43"
"2405801";"João Câmara (RN)";"Total";"Total";"16,99"
"2405900";"João Dias (RN)";"Total";"Total";"37,23"
"2406007";"José da Penha (RN)";"Total";"Total";"21,20"
"2406106";"Jucurutu (RN)";"Total";"Total";"29,13"
"2406155";"Jundiá (RN)";"Total";"Total";"6,75"
"2406205";"Lagoa d'Anta (RN)";"Total";"Total";"6,06"
"2406304";"Lagoa de Pedras (RN)";"Total";"Total";"5,82"
"2406403";"Lagoa de Velhos (RN)";"Total";"Total";"18,68"
"2406502";"Lagoa Nova (RN)";"Total";"Total";"46,06"
"2406601";"Lagoa Salgada (RN)";"Total";"Total";"2,01"
"2406700";"Lajes (RN)";"Total";"Total";"55,53"
"2406809";"Lajes Pintadas (RN)";"Total";"Total";"34,55"
"2406908";"Lucrécia (RN)";"Total";"Total";"72,48"
"2407005";"Luís Gomes (RN)";"Total";"Total";"3,77"
"2407104";"Macaíba (RN)";"Total";"Total";"19,25"
"2407203";"Macau (RN)";"Total";"Total";"70,23"
"2407252";"Major Sales (RN)";"Total";"Total";"20,74"
"2407302";"Marcelino Vieira (RN)";"Total";"Total";"30,76"
"2407401";"Martins (RN)";"Total";"Total";"0,29"
"2407500";"Maxaranguape (RN)";"Total";"Total";"5,43"
"2407609";"Messias Targino (RN)";"Total";"Total";"15,99"
"2407708";"Montanhas (RN)";"Total";"Total";"5,33"
"2407807";"Monte Alegre (RN)";"Total";"Total";"23,53"
"2407906";"Monte das Gameleiras (RN)";"Total";"Total";"22,78"
"2408003";"Mossoró (RN)";"Total";"Total";"64,20"
"2408102";"Natal (RN)";"Total";"Total";"62,36"
"2408201";"Nísia Floresta (RN)";"Total";"Total";"21,23"
"2408300";"Nova Cruz (RN)";"Total";"Total";"13,93"
"2408409";"Olho d'Água do Borges (RN)";"Total";"Total";"1,79"
"2408508";"Ouro Branco (RN)";"Total";"Total";"16,77"
"2408607";"Paraná (RN)";"Total";"Total";"1,16"
"2408706";"Paraú (RN)";"Total";"Total";"18,27"
"2408805";"Parazinho (RN)";"Total";"Total";"28,97"
"2408904";"Parelhas (RN)";"Total";"Total";"69,41"
"2408953";"Rio do Fogo (RN)";"Total";"Total";"0,90"
"2409100";"Passa e Fica (RN)";"Total";"Total";"57,52"
"2409209";"Passagem (RN)";"Total";"Total";"6,17"
"2409308";"Patu (RN)";"Total";"Total";"21,36"
"2409332";"Santa Maria (RN)";"Total";"Total";"0,91"
"2409407";"Pau dos Ferros (RN)";"Total";"Total";"57,28"
"2409506";"Pedra Grande (RN)";"Total";"Total";"2,88"
"2409605";"Pedra Preta (RN)";"Total";"Total";"4,08"
"2409704";"Pedro Avelino (RN)";"Total";"Total";"47,76"
"2409803";"Pedro Velho (RN)";"Total";"Total";"35,69"
"2409902";"Pendências (RN)";"Total";"Total";"55,29"
"2410009";"Pilões (RN)";"Total";"Total";"21,35"
"2410108";"Poço Branco (RN)";"Total";"Total";"9,35"
"2410207";"Portalegre (RN)";"Total";"Total";"1,13"
"2410256";"Porto do Mangue (RN)";"Total";"Total";"0,28"
"2410306";"Serra Caiada (RN)";"Total";"Total";"24,26"
"2410405";"Pureza (RN)";"Total";"Total";"1,39"
"2410504";"Rafael Fernandes (RN)";"Total";"Total";"18,68"
"2410603";"Rafael Godeiro (RN)";"Total";"Total";"3,56"
"2410702";"Riacho da Cruz (RN)";"Total";"Total";"59,28"
"2410801";"Riacho de Santana (RN)";"Total";"Total";"14,86"
"2410900";"Riachuelo (RN)";"Total";"Total";"58,29"
"2411007";"Rodolfo Fernandes (RN)";"Total";"Total";"18,55"
"2411056";"Tibau (RN)";"Total";"Total";"31,65"
"2411106";"Ruy Barbosa (RN)";"Total";"Total";"0,72"
"2411205";"Santa Cruz (RN)";"Total";"Total";"79,31"
"2411403";"Santana do Matos (RN)";"Total";"Total";"57,08"
"2411429";"Santana do Seridó (RN)";"Total";"Total";"65,28"
"2411502";"Santo Antônio (RN)";"Total";"Total";"20,50"
"2411601";"São Bento do Norte (RN)";"Total";"Total";"56,42"
"2411700";"São Bento do Trairí (RN)";"Total";"Total";"69,91"
"2411809";"São Fernando (RN)";"Total";"Total";"37,39"
"2411908";"São Francisco do Oeste (RN)";"Total";"Total";"0,52"
"2412005";"São Gonçalo do Amarante (RN)";"Total";"Total";"65,29"
"2412104";"São João do Sabugi (RN)";"Total";"Total";"4,19"
"2412203";"São José de Mipibu (RN)";"Total";"Total";"18,96"
"2412302";"São José do Campestre (RN)";"Total";"Total";"40,59"
"2412401";"São José do Seridó (RN)";"Total";"Total";"64,30"
"2412500";"São Miguel (RN)";"Total";"Total";"3,74"
"2412559";"São Miguel do Gostoso (RN)";"Total";"Total";"2,91"
"2412609";"São Paulo do Potengi (RN)";"Total";"Total";"59,44"
"2412708";"São Pedro (RN)";"Total";"Total";"2,79"
"2412807";"São Rafael (RN)";"Total";"Total";"60,12"
"2412906";"São Tomé (RN)";"Total";"Total";"27,31"
"2413003";"São Vicente (RN)";"Total";"Total";"60,63"
"2413102";"Senador Elói de Souza (RN)";"Total";"Total";"17,88"
"2413201";"Senador Georgino Avelino (RN)";"Total";"Total";"1,82"
"2413300";"Serra de São Bento (RN)";"Total";"Total";"7,01"
"2413359";"Serra do Mel (RN)";"Total";"Total";"1,43"
"2413409";"Serra Negra do Norte (RN)";"Total";"Total";"74,06"
"2413508";"Serrinha (RN)";"Total";"Total";"2,58"
"2413557";"Serrinha dos Pintos (RN)";"Total";"Total";"0,66"
"2413607";"Severiano Melo (RN)";"Total";"Total";"7,71"
"2413706";"Sítio Novo (RN)";"Total";"Total";"13,17"
"2413805";"Taboleiro Grande (RN)";"Total";"Total";"1,16"
"2413904";"Taipu (RN)";"Total";"Total";"5,19"
"2414001";"Tangará (RN)";"Total";"Total";"75,65"
"2414100";"Tenente Ananias (RN)";"Total";"Total";"28,16"
"2414159";"Tenente Laurentino Cruz (RN)";"Total";"Total";"6,23"
"2414209";"Tibau do Sul (RN)";"Total";"Total";"23,53"
"2414308";"Timbaúba dos Batistas (RN)";"Total";"Total";"97,33"
"2414407";"Touros (RN)";"Total";"Total";"18,84"
"2414456";"Triunfo Potiguar (RN)";"Total";"Total";"1,31"
"2414506";"Umarizal (RN)";"Total";"Total";"4,96"
"2414605";"Upanema (RN)";"Total";"Total";"1,32"
"2414704";"Várzea (RN)";"Total";"Total";"13,07"
"2414753";"Venha-Ver (RN)";"Total";"Total";"3,76"
"2414803";"Vera Cruz (RN)";"Total";"Total";"3,51"
"2414902";"Viçosa (RN)";"Total";"Total";"73,80"
"2415008";"Vila Flor (RN)";"Total";"Total";"1,60"
"2500106";"Água Branca (PB)";"Total";"Total";"26,18"
"2500205";"Aguiar (PB)";"Total";"Total";"18,75"
"2500304";"Alagoa Grande (PB)";"Total";"Total";"51,20"
"2500403";"Alagoa Nova (PB)";"Total";"Total";"36,57"
"2500502";"Alagoinha (PB)";"Total";"Total";"8,30"
"2500536";"Alcantil (PB)";"Total";"Total";"3,32"
"2500577";"Algodão de Jandaíra (PB)";"Total";"Total";"27,19"
"2500601";"Alhandra (PB)";"Total";"Total";"9,37"
"2500700";"São João do Rio do Peixe (PB)";"Total";"Total";"32,49"
"2500734";"Amparo (PB)";"Total";"Total";"10,22"
"2500775";"Aparecida (PB)";"Total";"Total";"4,89"
"2500809";"Araçagi (PB)";"Total";"Total";"12,15"
"2500908";"Arara (PB)";"Total";"Total";"48,45"
"2501005";"Araruna (PB)";"Total";"Total";"42,63"
"2501104";"Areia (PB)";"Total";"Total";"41,97"
"2501153";"Areia de Baraúnas (PB)";"Total";"Total";"42,42"
"2501203";"Areial (PB)";"Total";"Total";"56,69"
"2501302";"Aroeiras (PB)";"Total";"Total";"22,21"
"2501351";"Assunção (PB)";"Total";"Total";"26,20"
"2501401";"Baía da Traição (PB)";"Total";"Total";"12,21"
"2501500";"Bananeiras (PB)";"Total";"Total";"26,59"
"2501534";"Baraúna (PB)";"Total";"Total";"35,92"
"2501575";"Barra de Santana (PB)";"Total";"Total";"5,04"
"2501609";"Barra de Santa Rosa (PB)";"Total";"Total";"54,40"
"2501708";"Barra de São Miguel (PB)";"Total";"Total";"11,76"
"2501807";"Bayeux (PB)";"Total";"Total";"45,66"
"2501906";"Belém (PB)";"Total";"Total";"81,61"
"2502003";"Belém do Brejo do Cruz (PB)";"Total";"Total";"53,66"
"2502052";"Bernardino Batista (PB)";"Total";"Total";"1,00"
"2502102";"Boa Ventura (PB)";"Total";"Total";"10,66"
"2502151";"Boa Vista (PB)";"Total";"Total";"14,62"
"2502201";"Bom Jesus (PB)";"Total";"Total";"0,86"
"2502300";"Bom Sucesso (PB)";"Total";"Total";"20,22"
"2502409";"Bonito de Santa Fé (PB)";"Total";"Total";"45,98"
"2502508";"Boqueirão (PB)";"Total";"Total";"52,30"
"2502607";"Igaracy (PB)";"Total";"Total";"32,66"
"2502706";"Borborema (PB)";"Total";"Total";"60,86"
"2502805";"Brejo do Cruz (PB)";"Total";"Total";"63,76"
"2502904";"Brejo dos Santos (PB)";"Total";"Total";"9,04"
"2503001";"Caaporã (PB)";"Total";"Total";"15,71"
"2503100";"Cabaceiras (PB)";"Total";"Total";"28,18"
"2503209";"Cabedelo (PB)";"Total";"Total";"51,92"
"2503308";"Cachoeira dos Índios (PB)";"Total";"Total";"25,34"
"2503407";"Cacimba de Areia (PB)";"Total";"Total";"40,83"
"2503506";"Cacimba de Dentro (PB)";"Total";"Total";"12,91"
"2503555";"Cacimbas (PB)";"Total";"Total";"29,65"
"2503605";"Caiçara (PB)";"Total";"Total";"52,52"
"2503704";"Cajazeiras (PB)";"Total";"Total";"54,69"
"2503753";"Cajazeirinhas (PB)";"Total";"Total";"30,34"
"2503803";"Caldas Brandão (PB)";"Total";"Total";"5,81"
"2503902";"Camalaú (PB)";"Total";"Total";"18,36"
"2504009";"Campina Grande (PB)";"Total";"Total";"83,72"
"2504033";"Capim (PB)";"Total";"Total";"5,68"
"2504074";"Caraúbas (PB)";"Total";"Total";"38,71"
"2504108";"Carrapateira (PB)";"Total";"Total";"16,78"
"2504157";"Casserengue (PB)";"Total";"Total";"30,71"
"2504207";"Catingueira (PB)";"Total";"Total";"16,91"
"2504306";"Catolé do Rocha (PB)";"Total";"Total";"37,72"
"2504355";"Caturité (PB)";"Total";"Total";"20,92"
"2504405";"Conceição (PB)";"Total";"Total";"23,36"
"2504504";"Condado (PB)";"Total";"Total";"37,55"
"2504603";"Conde (PB)";"Total";"Total";"17,11"
"2504702";"Congo (PB)";"Total";"Total";"46,68"
"2504801";"Coremas (PB)";"Total";"Total";"53,30"
"2504850";"Coxixola (PB)";"Total";"Total";"32,99"
"2504900";"Cruz do Espírito Santo (PB)";"Total";"Total";"21,97"
"2505006";"Cubati (PB)";"Total";"Total";"22,00"
"2505105";"Cuité (PB)";"Total";"Total";"15,39"
"2505204";"Cuitegi (PB)";"Total";"Total";"4,74"
"2505238";"Cuité de Mamanguape (PB)";"Total";"Total";"1,16"
"2505279";"Curral de Cima (PB)";"Total";"Total";"3,00"
"2505303";"Curral Velho (PB)";"Total";"Total";"32,10"
"2505352";"Damião (PB)";"Total";"Total";"1,53"
"2505402";"Desterro (PB)";"Total";"Total";"37,15"
"2505501";"Vista Serrana (PB)";"Total";"Total";"33,95"
"2505600";"Diamante (PB)";"Total";"Total";"20,41"
"2505709";"Dona Inês (PB)";"Total";"Total";"15,32"
"2505808";"Duas Estradas (PB)";"Total";"Total";"26,07"
"2505907";"Emas (PB)";"Total";"Total";"57,02"
"2506004";"Esperança (PB)";"Total";"Total";"62,16"
"2506103";"Fagundes (PB)";"Total";"Total";"11,05"
"2506202";"Frei Martinho (PB)";"Total";"Total";"63,23"
"2506251";"Gado Bravo (PB)";"Total";"Total";"1,84"
"2506301";"Guarabira (PB)";"Total";"Total";"69,27"
"2506400";"Gurinhém (PB)";"Total";"Total";"6,23"
"2506509";"Gurjão (PB)";"Total";"Total";"34,71"
"2506608";"Ibiara (PB)";"Total";"Total";"5,73"
"2506707";"Imaculada (PB)";"Total";"Total";"25,05"
"2506806";"Ingá (PB)";"Total";"Total";"5,14"
"2506905";"Itabaiana (PB)";"Total";"Total";"35,16"
"2507002";"Itaporanga (PB)";"Total";"Total";"66,63"
"2507101";"Itapororoca (PB)";"Total";"Total";"10,44"
"2507200";"Itatuba (PB)";"Total";"Total";"18,87"
"2507309";"Jacaraú (PB)";"Total";"Total";"7,50"
"2507408";"Jericó (PB)";"Total";"Total";"41,24"
"2507507";"João Pessoa (PB)";"Total";"Total";"71,45"
"2507606";"Juarez Távora (PB)";"Total";"Total";"10,47"
"2507705";"Juazeirinho (PB)";"Total";"Total";"52,38"
"2507804";"Junco do Seridó (PB)";"Total";"Total";"64,12"
"2507903";"Juripiranga (PB)";"Total";"Total";"6,58"
"2508000";"Juru (PB)";"Total";"Total";"24,68"
"2508109";"Lagoa (PB)";"Total";"Total";"17,72"
"2508208";"Lagoa de Dentro (PB)";"Total";"Total";"13,23"
"2508307";"Lagoa Seca (PB)";"Total";"Total";"46,10"
"2508406";"Lastro (PB)";"Total";"Total";"12,00"
"2508505";"Livramento (PB)";"Total";"Total";"33,33"
"2508554";"Logradouro (PB)";"Total";"Total";"36,68"
"2508604";"Lucena (PB)";"Total";"Total";"28,18"
"2508703";"Mãe d'Água (PB)";"Total";"Total";"41,97"
"2508802";"Malta (PB)";"Total";"Total";"75,73"
"2508901";"Mamanguape (PB)";"Total";"Total";"8,56"
"2509008";"Manaíra (PB)";"Total";"Total";"14,20"
"2509057";"Marcação (PB)";"Total";"Total";"22,25"
"2509107";"Mari (PB)";"Total";"Total";"1,72"
"2509156";"Marizópolis (PB)";"Total";"Total";"16,48"
"2509206";"Massaranduba (PB)";"Total";"Total";"27,78"
"2509305";"Mataraca (PB)";"Total";"Total";"3,83"
"2509339";"Matinhas (PB)";"Total";"Total";"10,48"
"2509370";"Mato Grosso (PB)";"Total";"Total";"55,22"
"2509396";"Maturéia (PB)";"Total";"Total";"21,62"
"2509404";"Mogeiro (PB)";"Total";"Total";"6,19"
"2509503";"Montadas (PB)";"Total";"Total";"37,58"
"2509602";"Monte Horebe (PB)";"Total";"Total";"52,72"
"2509701";"Monteiro (PB)";"Total";"Total";"57,35"
"2509800";"Mulungu (PB)";"Total";"Total";"6,34"
"2509909";"Natuba (PB)";"Total";"Total";"16,57"
"2510006";"Nazarezinho (PB)";"Total";"Total";"18,91"
"2510105";"Nova Floresta (PB)";"Total";"Total";"1,96"
"2510204";"Nova Olinda (PB)";"Total";"Total";"26,01"
"2510303";"Nova Palmeira (PB)";"Total";"Total";"61,68"
"2510402";"Olho d'Água (PB)";"Total";"Total";"42,36"
"2510501";"Olivedos (PB)";"Total";"Total";"42,59"
"2510600";"Ouro Velho (PB)";"Total";"Total";"2,44"
"2510659";"Parari (PB)";"Total";"Total";"55,47"
"2510709";"Passagem (PB)";"Total";"Total";"54,02"
"2510808";"Patos (PB)";"Total";"Total";"85,75"
"2510907";"Paulista (PB)";"Total";"Total";"35,37"
"2511004";"Pedra Branca (PB)";"Total";"Total";"68,15"
"2511103";"Pedra Lavrada (PB)";"Total";"Total";"40,82"
"2511202";"Pedras de Fogo (PB)";"Total";"Total";"25,23"
"2511301";"Piancó (PB)";"Total";"Total";"48,70"
"2511400";"Picuí (PB)";"Total";"Total";"62,12"
"2511509";"Pilar (PB)";"Total";"Total";"16,25"
"2511608";"Pilões (PB)";"Total";"Total";"10,90"
"2511707";"Pilõezinhos (PB)";"Total";"Total";"39,93"
"2511806";"Pirpirituba (PB)";"Total";"Total";"48,44"
"2511905";"Pitimbu (PB)";"Total";"Total";"16,72"
"2512002";"Pocinhos (PB)";"Total";"Total";"39,35"
"2512036";"Poço Dantas (PB)";"Total";"Total";"13,62"
"2512077";"Poço de José de Moura (PB)";"Total";"Total";"35,89"
"2512101";"Pombal (PB)";"Total";"Total";"61,60"
"2512200";"Prata (PB)";"Total";"Total";"1,31"
"2512309";"Princesa Isabel (PB)";"Total";"Total";"58,56"
"2512408";"Puxinanã (PB)";"Total";"Total";"73,69"
"2512507";"Queimadas (PB)";"Total";"Total";"46,90"
"2512606";"Quixaba (PB)";"Total";"Total";"37,67"
"2512705";"Remígio (PB)";"Total";"Total";"53,81"
"2512721";"Pedro Régis (PB)";"Total";"Total";"1,39"
"2512747";"Riachão (PB)";"Total";"Total";"25,81"
"2512754";"Riachão do Bacamarte (PB)";"Total";"Total";"19,39"
"2512762";"Riachão do Poço (PB)";"Total";"Total";"18,29"
"2512788";"Riacho de Santo Antônio (PB)";"Total";"Total";"37,00"
"2512804";"Riacho dos Cavalos (PB)";"Total";"Total";"43,10"
"2512903";"Rio Tinto (PB)";"Total";"Total";"26,75"
"2513000";"Salgadinho (PB)";"Total";"Total";"16,30"
"2513109";"Salgado de São Félix (PB)";"Total";"Total";"3,06"
"2513158";"Santa Cecília (PB)";"Total";"Total";"4,98"
"2513208";"Santa Cruz (PB)";"Total";"Total";"27,30"
"2513307";"Santa Helena (PB)";"Total";"Total";"23,80"
"2513356";"Santa Inês (PB)";"Total";"Total";"4,45"
"2513406";"Santa Luzia (PB)";"Total";"Total";"85,18"
"2513505";"Santana de Mangueira (PB)";"Total";"Total";"4,54"
"2513604";"Santana dos Garrotes (PB)";"Total";"Total";"12,93"
"2513653";"Joca Claudino (PB)";"Total";"Total";"0,67"
"2513703";"Santa Rita (PB)";"Total";"Total";"21,33"
"2513802";"Santa Teresinha (PB)";"Total";"Total";"91,30"
"2513851";"Santo André (PB)";"Total";"Total";"7,30"
"2513901";"São Bento (PB)";"Total";"Total";"57,64"
"2513927";"São Bentinho (PB)";"Total";"Total";"37,70"
"2513943";"São Domingos do Cariri (PB)";"Total";"Total";"34,73"
"2513968";"São Domingos (PB)";"Total";"Total";"25,58"
"2513984";"São Francisco (PB)";"Total";"Total";"13,15"
"2514008";"São João do Cariri (PB)";"Total";"Total";"57,29"
"2514107";"São João do Tigre (PB)";"Total";"Total";"23,67"
"2514206";"São José da Lagoa Tapada (PB)";"Total";"Total";"19,18"
"2514305";"São José de Caiana (PB)";"Total";"Total";"0,48"
"2514404";"São José de Espinharas (PB)";"Total";"Total";"33,05"
"2514453";"São José dos Ramos (PB)";"Total";"Total";"5,16"
"2514503";"São José de Piranhas (PB)";"Total";"Total";"50,21"
"2514552";"São José de Princesa (PB)";"Total";"Total";"0,91"
"2514602";"São José do Bonfim (PB)";"Total";"Total";"74,35"
"2514651";"São José do Brejo do Cruz (PB)";"Total";"Total";"13,51"
"2514701";"São José do Sabugi (PB)";"Total";"Total";"77,34"
"2514800";"São José dos Cordeiros (PB)";"Total";"Total";"51,47"
"2514909";"São Mamede (PB)";"Total";"Total";"74,34"
"2515005";"São Miguel de Taipu (PB)";"Total";"Total";"30,63"
"2515104";"São Sebastião de Lagoa de Roça (PB)";"Total";"Total";"28,83"
"2515203";"São Sebastião do Umbuzeiro (PB)";"Total";"Total";"33,62"
"2515302";"Sapé (PB)";"Total";"Total";"27,91"
"2515401";"São Vicente do Seridó (PB)";"Total";"Total";"1,49"
"2515500";"Serra Branca (PB)";"Total";"Total";"24,35"
"2515609";"Serra da Raiz (PB)";"Total";"Total";"9,49"
"2515708";"Serra Grande (PB)";"Total";"Total";"33,80"
"2515807";"Serra Redonda (PB)";"Total";"Total";"30,14"
"2515906";"Serraria (PB)";"Total";"Total";"26,23"
"2515930";"Sertãozinho (PB)";"Total";"Total";"54,47"
"2515971";"Sobrado (PB)";"Total";"Total";"1,13"
"2516003";"Solânea (PB)";"Total";"Total";"19,24"
"2516102";"Soledade (PB)";"Total";"Total";"56,56"
"2516151";"Sossêgo (PB)";"Total";"Total";"20,67"
"2516201";"Sousa (PB)";"Total";"Total";"66,04"
"2516300";"Sumé (PB)";"Total";"Total";"23,97"
"2516409";"Tacima (PB)";"Total";"Total";"11,45"
"2516508";"Taperoá (PB)";"Total";"Total";"58,54"
"2516607";"Tavares (PB)";"Total";"Total";"26,92"
"2516706";"Teixeira (PB)";"Total";"Total";"32,95"
"2516755";"Tenório (PB)";"Total";"Total";"2,49"
"2516805";"Triunfo (PB)";"Total";"Total";"23,45"
"2516904";"Uiraúna (PB)";"Total";"Total";"56,66"
"2517001";"Umbuzeiro (PB)";"Total";"Total";"22,94"
"2517100";"Várzea (PB)";"Total";"Total";"68,22"
"2517209";"Vieirópolis (PB)";"Total";"Total";"1,48"
"2517407";"Zabelê (PB)";"Total";"Total";"53,35"
"2600054";"Abreu e Lima (PE)";"Total";"Total";"44,16"
"2600104";"Afogados da Ingazeira (PE)";"Total";"Total";"72,41"
"2600203";"Afrânio (PE)";"Total";"Total";"25,29"
"2600302";"Agrestina (PE)";"Total";"Total";"67,78"
"2600401";"Água Preta (PE)";"Total";"Total";"39,37"
"2600500";"Águas Belas (PE)";"Total";"Total";"30,66"
"2600609";"Alagoinha (PE)";"Total";"Total";"47,46"
"2600708";"Aliança (PE)";"Total";"Total";"53,15"
"2600807";"Altinho (PE)";"Total";"Total";"53,45"
"2600906";"Amaraji (PE)";"Total";"Total";"50,87"
"2601003";"Angelim (PE)";"Total";"Total";"50,37"
"2601052";"Araçoiaba (PE)";"Total";"Total";"8,50"
"2601102";"Araripina (PE)";"Total";"Total";"45,10"
"2601201";"Arcoverde (PE)";"Total";"Total";"86,46"
"2601300";"Barra de Guabiraba (PE)";"Total";"Total";"73,99"
"2601409";"Barreiros (PE)";"Total";"Total";"44,48"
"2601508";"Belém de Maria (PE)";"Total";"Total";"43,67"
"2601607";"Belém do São Francisco (PE)";"Total";"Total";"42,90"
"2601706";"Belo Jardim (PE)";"Total";"Total";"71,66"
"2601805";"Betânia (PE)";"Total";"Total";"27,55"
"2601904";"Bezerros (PE)";"Total";"Total";"66,13"
"2602001";"Bodocó (PE)";"Total";"Total";"25,41"
"2602100";"Bom Conselho (PE)";"Total";"Total";"49,73"
"2602209";"Bom Jardim (PE)";"Total";"Total";"21,85"
"2602308";"Bonito (PE)";"Total";"Total";"67,04"
"2602407";"Brejão (PE)";"Total";"Total";"30,12"
"2602506";"Brejinho (PE)";"Total";"Total";"47,11"
"2602605";"Brejo da Madre de Deus (PE)";"Total";"Total";"54,71"
"2602704";"Buenos Aires (PE)";"Total";"Total";"13,54"
"2602803";"Buíque (PE)";"Total";"Total";"31,96"
"2602902";"Cabo de Santo Agostinho (PE)";"Total";"Total";"50,47"
"2603009";"Cabrobó (PE)";"Total";"Total";"64,50"
"2603108";"Cachoeirinha (PE)";"Total";"Total";"72,56"
"2603207";"Caetés (PE)";"Total";"Total";"19,97"
"2603306";"Calçado (PE)";"Total";"Total";"39,56"
"2603405";"Calumbi (PE)";"Total";"Total";"40,93"
"2603454";"Camaragibe (PE)";"Total";"Total";"40,81"
"2603504";"Camocim de São Félix (PE)";"Total";"Total";"75,08"
"2603603";"Camutanga (PE)";"Total";"Total";"25,22"
"2603702";"Canhotinho (PE)";"Total";"Total";"55,68"
"2603801";"Capoeiras (PE)";"Total";"Total";"34,33"
"2603900";"Carnaíba (PE)";"Total";"Total";"42,64"
"2603926";"Carnaubeira da Penha (PE)";"Total";"Total";"14,72"
"2604007";"Carpina (PE)";"Total";"Total";"15,28"
"2604106";"Caruaru (PE)";"Total";"Total";"80,66"
"2604155";"Casinhas (PE)";"Total";"Total";"11,90"
"2604205";"Catende (PE)";"Total";"Total";"62,74"
"2604304";"Cedro (PE)";"Total";"Total";"57,04"
"2604403";"Chã de Alegria (PE)";"Total";"Total";"15,65"
"2604502";"Chã Grande (PE)";"Total";"Total";"44,88"
"2604601";"Condado (PE)";"Total";"Total";"3,75"
"2604700";"Correntes (PE)";"Total";"Total";"47,13"
"2604809";"Cortês (PE)";"Total";"Total";"54,09"
"2604908";"Cumaru (PE)";"Total";"Total";"20,55"
"2605004";"Cupira (PE)";"Total";"Total";"81,06"
"2605103";"Custódia (PE)";"Total";"Total";"52,97"
"2605152";"Dormentes (PE)";"Total";"Total";"72,14"
"2605202";"Escada (PE)";"Total";"Total";"37,91"
"2605301";"Exu (PE)";"Total";"Total";"17,32"
"2605400";"Feira Nova (PE)";"Total";"Total";"16,05"
"2605459";"Fernando de Noronha (PE)";"Total";"Total";"80,00"
"2605509";"Ferreiros (PE)";"Total";"Total";"39,73"
"2605608";"Flores (PE)";"Total";"Total";"32,56"
"2605707";"Floresta (PE)";"Total";"Total";"41,32"
"2605806";"Frei Miguelinho (PE)";"Total";"Total";"13,36"
"2605905";"Gameleira (PE)";"Total";"Total";"53,54"
"2606002";"Garanhuns (PE)";"Total";"Total";"52,79"
"2606101";"Glória do Goitá (PE)";"Total";"Total";"31,65"
"2606200";"Goiana (PE)";"Total";"Total";"33,91"
"2606309";"Granito (PE)";"Total";"Total";"29,91"
"2606408";"Gravatá (PE)";"Total";"Total";"65,70"
"2606507";"Iati (PE)";"Total";"Total";"37,14"
"2606606";"Ibimirim (PE)";"Total";"Total";"33,84"
"2606705";"Ibirajuba (PE)";"Total";"Total";"35,82"
"2606804";"Igarassu (PE)";"Total";"Total";"20,39"
"2606903";"Iguaracy (PE)";"Total";"Total";"36,98"
"2607000";"Inajá (PE)";"Total";"Total";"26,48"
"2607109";"Ingazeira (PE)";"Total";"Total";"42,95"
"2607208";"Ipojuca (PE)";"Total";"Total";"50,35"
"2607307";"Ipubi (PE)";"Total";"Total";"19,59"
"2607406";"Itacuruba (PE)";"Total";"Total";"82,92"
"2607505";"Itaíba (PE)";"Total";"Total";"31,23"
"2607604";"Ilha de Itamaracá (PE)";"Total";"Total";"20,21"
"2607653";"Itambé (PE)";"Total";"Total";"17,33"
"2607703";"Itapetim (PE)";"Total";"Total";"53,45"
"2607752";"Itapissuma (PE)";"Total";"Total";"25,14"
"2607802";"Itaquitinga (PE)";"Total";"Total";"9,56"
"2607901";"Jaboatão dos Guararapes (PE)";"Total";"Total";"46,37"
"2607950";"Jaqueira (PE)";"Total";"Total";"32,56"
"2608008";"Jataúba (PE)";"Total";"Total";"53,78"
"2608057";"Jatobá (PE)";"Total";"Total";"68,75"
"2608107";"João Alfredo (PE)";"Total";"Total";"17,66"
"2608206";"Joaquim Nabuco (PE)";"Total";"Total";"51,01"
"2608255";"Jucati (PE)";"Total";"Total";"47,11"
"2608305";"Jupi (PE)";"Total";"Total";"49,21"
"2608404";"Jurema (PE)";"Total";"Total";"61,04"
