"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1300631";"Beruri (AM)";"Coletado";"Total";"39,60"
"1300680";"Boa Vista do Ramos (AM)";"Coletado";"Total";"46,24"
"1300706";"Boca do Acre (AM)";"Coletado";"Total";"49,61"
"1300805";"Borba (AM)";"Coletado";"Total";"50,28"
"1300839";"Caapiranga (AM)";"Coletado";"Total";"41,70"
"1300904";"Canutama (AM)";"Coletado";"Total";"35,23"
"1301001";"Carauari (AM)";"Coletado";"Total";"72,31"
"1301100";"Careiro (AM)";"Coletado";"Total";"38,90"
"1301159";"Careiro da Várzea (AM)";"Coletado";"Total";"12,49"
"1301209";"Coari (AM)";"Coletado";"Total";"60,33"
"1301308";"Codajás (AM)";"Coletado";"Total";"61,23"
"1301407";"Eirunepé (AM)";"Coletado";"Total";"33,47"
"1301506";"Envira (AM)";"Coletado";"Total";"62,83"
"1301605";"Fonte Boa (AM)";"Coletado";"Total";"49,85"
"1301654";"Guajará (AM)";"Coletado";"Total";"44,79"
"1301704";"Humaitá (AM)";"Coletado";"Total";"67,84"
"1301803";"Ipixuna (AM)";"Coletado";"Total";"34,26"
"1301852";"Iranduba (AM)";"Coletado";"Total";"78,41"
"1301902";"Itacoatiara (AM)";"Coletado";"Total";"72,49"
"1301951";"Itamarati (AM)";"Coletado";"Total";"34,65"
"1302009";"Itapiranga (AM)";"Coletado";"Total";"69,29"
"1302108";"Japurá (AM)";"Coletado";"Total";"30,43"
"1302207";"Juruá (AM)";"Coletado";"Total";"41,61"
"1302306";"Jutaí (AM)";"Coletado";"Total";"11,97"
"1302405";"Lábrea (AM)";"Coletado";"Total";"53,00"
"1302504";"Manacapuru (AM)";"Coletado";"Total";"70,56"
"1302553";"Manaquiri (AM)";"Coletado";"Total";"30,57"
"1302603";"Manaus (AM)";"Coletado";"Total";"98,01"
"1302702";"Manicoré (AM)";"Coletado";"Total";"46,26"
"1302801";"Maraã (AM)";"Coletado";"Total";"42,39"
"1302900";"Maués (AM)";"Coletado";"Total";"49,57"
"1303007";"Nhamundá (AM)";"Coletado";"Total";"34,25"
"1303106";"Nova Olinda do Norte (AM)";"Coletado";"Total";"49,10"
"1303205";"Novo Airão (AM)";"Coletado";"Total";"65,36"
"1303304";"Novo Aripuanã (AM)";"Coletado";"Total";"26,67"
"1303403";"Parintins (AM)";"Coletado";"Total";"62,59"
"1303502";"Pauini (AM)";"Coletado";"Total";"28,96"
"1303536";"Presidente Figueiredo (AM)";"Coletado";"Total";"66,99"
"1303569";"Rio Preto da Eva (AM)";"Coletado";"Total";"46,47"
"1303601";"Santa Isabel do Rio Negro (AM)";"Coletado";"Total";"44,01"
"1303700";"Santo Antônio do Içá (AM)";"Coletado";"Total";"38,30"
"1303809";"São Gabriel da Cachoeira (AM)";"Coletado";"Total";"51,38"
"1303908";"São Paulo de Olivença (AM)";"Coletado";"Total";"0,15"
"1303957";"São Sebastião do Uatumã (AM)";"Coletado";"Total";"57,99"
"1304005";"Silves (AM)";"Coletado";"Total";"50,23"
"1304062";"Tabatinga (AM)";"Coletado";"Total";"70,74"
"1304104";"Tapauá (AM)";"Coletado";"Total";"50,33"
"1304203";"Tefé (AM)";"Coletado";"Total";"68,47"
"1304237";"Tonantins (AM)";"Coletado";"Total";"29,52"
"1304260";"Uarini (AM)";"Coletado";"Total";"46,03"
"1304302";"Urucará (AM)";"Coletado";"Total";"64,11"
"1304401";"Urucurituba (AM)";"Coletado";"Total";"52,29"
"1400027";"Amajari (RR)";"Coletado";"Total";"22,96"
"1400050";"Alto Alegre (RR)";"Coletado";"Total";"36,24"
"1400100";"Boa Vista (RR)";"Coletado";"Total";"96,36"
"1400159";"Bonfim (RR)";"Coletado";"Total";"34,74"
"1400175";"Cantá (RR)";"Coletado";"Total";"23,86"
"1400209";"Caracaraí (RR)";"Coletado";"Total";"61,18"
"1400233";"Caroebe (RR)";"Coletado";"Total";"44,69"
"1400282";"Iracema (RR)";"Coletado";"Total";"45,71"
"1400308";"Mucajaí (RR)";"Coletado";"Total";"56,09"
"1400407";"Normandia (RR)";"Coletado";"Total";"22,44"
"1400456";"Pacaraima (RR)";"Coletado";"Total";"54,07"
"1400472";"Rorainópolis (RR)";"Coletado";"Total";"56,06"
"1400506";"São João da Baliza (RR)";"Coletado";"Total";"65,40"
"1400605";"São Luiz (RR)";"Coletado";"Total";"65,86"
"1400704";"Uiramutã (RR)";"Coletado";"Total";"11,01"
"1500107";"Abaetetuba (PA)";"Coletado";"Total";"63,13"
"1500131";"Abel Figueiredo (PA)";"Coletado";"Total";"81,64"
"1500206";"Acará (PA)";"Coletado";"Total";"25,89"
"1500305";"Afuá (PA)";"Coletado";"Total";"29,64"
"1500347";"Água Azul do Norte (PA)";"Coletado";"Total";"31,57"
"1500404";"Alenquer (PA)";"Coletado";"Total";"45,45"
"1500503";"Almeirim (PA)";"Coletado";"Total";"64,81"
"1500602";"Altamira (PA)";"Coletado";"Total";"79,60"
"1500701";"Anajás (PA)";"Coletado";"Total";"35,90"
"1500800";"Ananindeua (PA)";"Coletado";"Total";"97,75"
"1500859";"Anapu (PA)";"Coletado";"Total";"41,42"
